Image,Type,EME,EMEE,Visibility,AME,AMEE
1-014.jpg,Original,40.6974,2.0349,0.1706,7.8543,7.8543
1-014.jpg,Enhanced,267.1068,13.3553,0.7654,1.9134,1.9134
1-030.jpg,Original,42.0590,2.1030,0.2474,6.1736,6.1736
1-030.jpg,Enhanced,261.8650,13.0932,0.8375,0.2431,0.2431
1-075.jpg,Original,41.3227,2.0661,0.2350,5.9828,5.9828
1-075.jpg,Enhanced,268.8920,13.4446,0.8701,0.1784,0.1784
1-108.jpg,Original,49.8554,2.4928,0.2182,8.1115,8.1115
1-108.jpg,Enhanced,325.1579,16.2579,0.9437,0.0853,0.0853
1-111.jpg,Original,42.8289,2.1414,0.1994,6.1540,6.1540
1-111.jpg,Enhanced,222.7614,11.1381,0.7467,1.1873,1.1873
1-126.jpg,Original,48.2683,2.4134,0.2071,7.1241,7.1241
1-126.jpg,Enhanced,288.0888,14.4044,0.8273,1.0312,1.0312
1-196.jpg,Original,51.2177,2.5609,0.2434,7.8684,7.8684
1-196.jpg,Enhanced,329.0584,16.4529,0.9601,0.0488,0.0488
1-198.jpg,Original,25.8617,1.2931,0.1279,7.6316,7.6316
1-198.jpg,Enhanced,260.1332,13.0067,0.7587,1.1855,1.1855
1-231.jpg,Original,49.5641,2.4782,0.2328,3.6246,3.6246
1-231.jpg,Enhanced,223.0814,11.1541,0.6977,0.5584,0.5584
1-263.jpg,Original,60.3406,3.0170,0.6894,0.4148,0.4148
1-263.jpg,Enhanced,42.7831,2.1392,0.6511,0.4553,0.4553
